team1,team2,toss_winner,winner,venue,match_type,season
Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,Johannesburg,League,2009
Deccan Chargers,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,Johannesburg,League,2009
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Bloemfontein,League,2009
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Centurion,League,2009
Royal Challengers Bengaluru,Delhi Daredevils,Delhi Daredevils,Royal Challengers Bengaluru,Johannesburg,League,2009
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Durban,League,2009
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Durban,League,2009
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Centurion,League,2009
Royal Challengers Bengaluru,Deccan Chargers,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Centurion,League,2009
Delhi Daredevils,Deccan Chargers,Deccan Chargers,Deccan Chargers,Centurion,Semi Final,2009
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Johannesburg,Semi Final,2009
Royal Challengers Bengaluru,Deccan Chargers,Royal Challengers Bengaluru,Deccan Chargers,Johannesburg,Final,2009
Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Mumbai,League,2010
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai,League,2010
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,Chandigarh,League,2010
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2010
Chennai Super Kings,Deccan Chargers,Deccan Chargers,Deccan Chargers,Chennai,League,2010
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,Ahmedabad,League,2010
Royal Challengers Bengaluru,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bengaluru,Bengaluru,League,2010
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Kolkata,League,2010
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Delhi,League,2010
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2010
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,Deccan Chargers,Cuttack,League,2010
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Delhi,League,2010
Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai,League,2010
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Ahmedabad,League,2010
Deccan Chargers,Delhi Daredevils,Deccan Chargers,Deccan Chargers,Cuttack,League,2010
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,,Chennai,League,2010
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Mumbai,League,2010
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bengaluru,Bengaluru,League,2010
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Chandigarh,League,2010
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,League,2010
Royal Challengers Bengaluru,Delhi Daredevils,Royal Challengers Bengaluru,Delhi Daredevils,Bengaluru,League,2010
Rajasthan Royals,Deccan Chargers,Deccan Chargers,Rajasthan Royals,Ahmedabad,League,2010
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Chandigarh,League,2010
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Ahmedabad,League,2010
Deccan Chargers,Mumbai Indians,Deccan Chargers,Mumbai Indians,Mumbai,League,2010
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Delhi,League,2010
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Mumbai Indians,Mumbai,League,2010
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Delhi,League,2010
Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Chennai,League,2010
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2010
Kings XI Punjab,Royal Challengers Bengaluru,Kings XI Punjab,Royal Challengers Bengaluru,Chandigarh,League,2010
Mumbai Indians,Deccan Chargers,Mumbai Indians,Mumbai Indians,Mumbai,League,2010
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chennai,League,2010
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kolkata,League,2010
Delhi Daredevils,Royal Challengers Bengaluru,Delhi Daredevils,Delhi Daredevils,Delhi,League,2010
Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Nagpur,League,2010
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai,League,2010
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Rajasthan Royals,Jaipur,League,2010
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2010
Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,Deccan Chargers,Bengaluru,League,2010
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Chandigarh,League,2010
Deccan Chargers,Chennai Super Kings,Chennai Super Kings,Deccan Chargers,Nagpur,League,2010
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2010
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Delhi,League,2010
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Jaipur,League,2010
Deccan Chargers,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Deccan Chargers,Nagpur,League,2010
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Chennai,League,2010
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Mumbai Indians,Mumbai,League,2010
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Jaipur,League,2010
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Chennai,League,2010
Kings XI Punjab,Deccan Chargers,Deccan Chargers,Deccan Chargers,Dharamsala,League,2010
Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Bengaluru,League,2010
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,Kolkata,League,2010
Delhi Daredevils,Deccan Chargers,Deccan Chargers,Deccan Chargers,Delhi,League,2010
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Dharamsala,League,2010
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Kolkata,League,2010
