team1,team2,toss_winner,winner,venue,match_type,season
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,Kolkata,League,2016
Gujarat Lions,Rising Pune Supergiants,Rising Pune Supergiants,Gujarat Lions,Rajkot,League,2016
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Delhi,League,2016
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,League,2016
Mumbai Indians,Gujarat Lions,Gujarat Lions,Gujarat Lions,Mumbai,League,2016
Kings XI Punjab,Rising Pune Supergiants,Rising Pune Supergiants,Kings XI Punjab,Chandigarh,League,2016
Royal Challengers Bengaluru,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,Bengaluru,League,2016
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,League,2016
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Chandigarh,League,2016
Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Mumbai,League,2016
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajkot,League,2016
Rising Pune Supergiants,Royal Challengers Bengaluru,Rising Pune Supergiants,Royal Challengers Bengaluru,Bengaluru,League,2016
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,Chandigarh,League,2016
Delhi Daredevils,Mumbai Indians,Mumbai Indians,Delhi Daredevils,Delhi,League,2016
Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai,League,2016
Gujarat Lions,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Gujarat Lions,Kolkata,League,2016
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Jaipur,League,2016
Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,Rising Pune Supergiants,Hyderabad,League,2016
Delhi Daredevils,Gujarat Lions,Delhi Daredevils,Gujarat Lions,Chennai,League,2016
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Hyderabad,League,2016
Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,Gujarat Lions,Chandigarh,League,2016
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sunrisers Hyderabad,Chennai,League,2016
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils,Bengaluru,League,2016
Gujarat Lions,Kings XI Punjab,Gujarat Lions,Kings XI Punjab,Mumbai,League,2016
Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,Mumbai Indians,Chandigarh,League,2016
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Bengaluru,League,2016
Gujarat Lions,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,Kolkata,League,2016
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,Delhi,League,2016
Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,Rising Pune Supergiants,Jaipur,League,2016
Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,League,2016
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Chennai,League,2016
Royal Challengers Bengaluru,Rising Pune Supergiants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2016
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Gujarat Lions,Chandigarh,League,2016
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Jaipur,League,2016
Kings XI Punjab,Royal Challengers Bengaluru,Kings XI Punjab,Royal Challengers Bengaluru,Mumbai,League,2016
Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Bengaluru,League,2016
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Mumbai Indians,Chennai,League,2016
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,Mumbai,League,2016
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Delhi,League,2016
Royal Challengers Bengaluru,Gujarat Lions,Gujarat Lions,Royal Challengers Bengaluru,Kolkata,League,2016
Kolkata Knight Riders,Rising Pune Supergiants,Rising Pune Supergiants,Kolkata Knight Riders,Jaipur,League,2016
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Chennai,League,2016
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Jaipur,League,2016
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Hyderabad,League,2016
Rising Pune Supergiants,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,Chandigarh,League,2016
Royal Challengers Bengaluru,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bengaluru,Kolkata,League,2016
Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Mumbai,League,2016
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Delhi,League,2016
Rising Pune Supergiants,Kings XI Punjab,Kings XI Punjab,Rising Pune Supergiants,Mumbai,League,2016
Gujarat Lions,Mumbai Indians,Gujarat Lions,Gujarat Lions,Delhi,League,2016
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Jaipur,League,2016
Delhi Daredevils,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Hyderabad,League,2016
Gujarat Lions,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kolkata,Qualifier 1,2016
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Bengaluru,Elimination Final,2016
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata,Qualifier 2,2016
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai,Final,2016
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sunrisers Hyderabad,Mumbai,League,2017
Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Chandigarh,League,2017
Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Chennai,League,2017
Royal Challengers Bengaluru,Delhi Daredevils,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Delhi,League,2017
Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,Kolkata,League,2017
Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,League,2017
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Jaipur,League,2017
Kings XI Punjab,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kings XI Punjab,Hyderabad,League,2017
Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,Chandigarh,League,2017
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Bengaluru,League,2017
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai,League,2017
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,League,2017
Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Mumbai,League,2017
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Cape Town,League,2017
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Cape Town,League,2017
Royal Challengers Bengaluru,Rising Pune Supergiant,Royal Challengers Bengaluru,Rising Pune Supergiant,Cape Town,League,2017
Mumbai Indians,Gujarat Lions,Mumbai Indians,Mumbai Indians,Cape Town,League,2017
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Port Elizabeth,League,2017
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Sunrisers Hyderabad,Durban,League,2017
Gujarat Lions,Royal Challengers Bengaluru,Gujarat Lions,Royal Challengers Bengaluru,Cape Town,League,2017
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,Durban,League,2017
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Mumbai Indians,Cape Town,League,2017
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Gujarat Lions,Durban,League,2017
Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,Durban,League,2017
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Cape Town,League,2017
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,Port Elizabeth,League,2017
Gujarat Lions,Kings XI Punjab,Gujarat Lions,Kings XI Punjab,Durban,League,2017
Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,Port Elizabeth,League,2017
Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Centurion,League,2017
Royal Challengers Bengaluru,Gujarat Lions,Gujarat Lions,Gujarat Lions,Durban,League,2017
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Durban,League,2017
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Centurion,League,2017
Rising Pune Supergiant,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Rising Pune Supergiant,Centurion,League,2017
Gujarat Lions,Mumbai Indians,Gujarat Lions,,East London,League,2017
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Durban,League,2017
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Port Elizabeth,League,2017
Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,Johannesburg,League,2017
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mumbai Indians,Port Elizabeth,League,2017
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Johannesburg,League,2017
Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,East London,League,2017
Delhi Daredevils,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,Durban,League,2017
Royal Challengers Bengaluru,Kings XI Punjab,Royal Challengers Bengaluru,Kings XI Punjab,Durban,League,2017
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Centurion,League,2017
Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,Centurion,League,2017
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Centurion,League,2017
Kings XI Punjab,Gujarat Lions,Gujarat Lions,Gujarat Lions,East London,League,2017
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,Kimberley,League,2017
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Kimberley,League,2017
Gujarat Lions,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,Port Elizabeth,League,2017
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Johannesburg,League,2017
Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils,Kimberley,League,2017
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Centurion,League,2017
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Centurion,League,2017
Delhi Daredevils,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Durban,League,2017
Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,Durban,League,2017
Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,Durban,Qualifier 1,2017
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Bloemfontein,Eliminator,2017
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Port Elizabeth,Qualifier 2,2017
Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,Johannesburg,Final,2017
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Mumbai,League,2018
Delhi Capitals,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Chandigarh,League,2018
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2018
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,League,2018
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Chennai,League,2018
Rajasthan Royals,Delhi Capitals,Delhi Capitals,Rajasthan Royals,Jaipur,League,2018
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,League,2018
Kings XI Punjab,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2018
Mumbai Indians,Delhi Capitals,Delhi Capitals,Delhi Capitals,Mumbai,League,2018
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata,League,2018
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Rajasthan Royals,Bengaluru,League,2018
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Chandigarh,League,2018
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,Kolkata,League,2018
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mumbai Indians,Mumbai,League,2018
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Jaipur,League,2018
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Chandigarh,League,2018
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Pune,League,2018
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2018
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Kolkata,League,2018
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Jaipur,League,2018
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,League,2018
Kings XI Punjab,Delhi Capitals,Delhi Capitals,Kings XI Punjab,Delhi,League,2018
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,Mumbai,League,2018
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Bengaluru,League,2018
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,League,2018
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,Delhi,League,2018
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,Pune,League,2018
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Jaipur,League,2018
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Bengaluru,League,2018
Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings,Pune,League,2018
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Royal Challengers Bengaluru,Bengaluru,League,2018
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,Delhi,League,2018
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2018
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Mumbai Indians,Indore,League,2018
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Pune,League,2018
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,League,2018
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Indore,League,2018
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Mumbai,League,2018
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sunrisers Hyderabad,Hyderabad,League,2018
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2018
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Kolkata,League,2018
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Delhi,League,2018
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Jaipur,League,2018
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Delhi,League,2018
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,Indore,League,2018
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Mumbai,League,2018
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Pune,League,2018
Kings XI Punjab,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Indore,League,2018
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2018
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Mumbai,League,2018
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Bengaluru,League,2018
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,Delhi,League,2018
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2018
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,League,2018
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Pune,League,2018
Delhi Capitals,Mumbai Indians,Delhi Capitals,Delhi Capitals,Delhi,League,2018
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Mumbai,Qualifier 1,2018
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,Kolkata,Eliminator,2018
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,Qualifier 2,2018
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Mumbai,Final,2018
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Chennai,League,2019
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2019
Delhi Capitals,Mumbai Indians,Mumbai Indians,Delhi Capitals,Mumbai,League,2019
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Jaipur,League,2019
Delhi Capitals,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Delhi,League,2019
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,Kolkata,League,2019
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mumbai Indians,Bengaluru,League,2019
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,League,2019
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,,Delhi,League,2019
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Chandigarh,League,2019
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Chennai,League,2019
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sunrisers Hyderabad,Hyderabad,League,2019
Kings XI Punjab,Delhi Capitals,Delhi Capitals,Kings XI Punjab,Chandigarh,League,2019
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2019
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Mumbai,League,2019
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi,League,2019
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Bengaluru,League,2019
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,League,2019
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Chennai,League,2019
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Delhi Capitals,Bengaluru,League,2019
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Jaipur,League,2019
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Chandigarh,League,2019
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Chennai,League,2019
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,League,2019
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Jaipur,League,2019
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Delhi Capitals,Kolkata,League,2019
Kings XI Punjab,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Chandigarh,League,2019
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Mumbai,League,2019
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Hyderabad,League,2019
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Kolkata,League,2019
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,League,2019
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Chandigarh,League,2019
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,League,2019
Mumbai Indians,Delhi Capitals,Mumbai Indians,Mumbai Indians,Delhi,League,2019
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata,League,2019
Kings XI Punjab,Delhi Capitals,Delhi Capitals,Delhi Capitals,Delhi,League,2019
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2019
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,League,2019
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bengaluru,Bengaluru,League,2019
Rajasthan Royals,Delhi Capitals,Delhi Capitals,Delhi Capitals,Jaipur,League,2019
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Chennai,League,2019
Royal Challengers Bengaluru,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bengaluru,Bengaluru,League,2019
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Kolkata,League,2019
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Chennai,League,2019
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2019
Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Delhi,League,2019
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Kolkata,League,2019
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,League,2019
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,,Bengaluru,League,2019
Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings,Chennai,League,2019
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,,Mumbai,League,2019
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Chandigarh,League,2019
Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Delhi Capitals,Delhi,League,2019
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2019
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,League,2019
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Chandigarh,League,2019
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai,Qualifier 1,2019
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Delhi Capitals,Visakhapatnam,Eliminator,2019
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Visakhapatnam,Qualifier 2,2019
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Hyderabad,Final,2019
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Abu Dhabi,League,2020
Delhi Capitals,Kings XI Punjab,Kings XI Punjab,,,League,2020
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,,League,2020
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,,League,2020
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Abu Dhabi,League,2020
Kings XI Punjab,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kings XI Punjab,,League,2020
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,,League,2020
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Abu Dhabi,League,2020
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,,League,2020
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,,,League,2020
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,Abu Dhabi,League,2020
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,,League,2020
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Abu Dhabi,League,2020
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,,League,2020
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Abu Dhabi,League,2020
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,,League,2020
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,,League,2020
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,,League,2020
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,,League,2020
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Abu Dhabi,League,2020
